Voyage_ID,Sailing_Speed,Draft,Trim,Weather_Condition,Sea_Condition,Water_Temperature,Fuel_Consumption_Rate,Distance_Traveled,Time_Duration
33,14.4,10.1,2.1,Cloudy,Rough,21.8,9.2,143,10.0
10,18.4,11.0,3.7,Cloudy,Rough,23.9,7.7,163,12.0
12,17.6,9.9,3.1,Sunny,Calm,27.2,7.0,143,14.8
43,17.0,10.1,2.4,Foggy,Rough,25.0,8.7,165,12.1
3,17.1,9.7,2.0,Sunny,Calm,24.7,7.1,141,10.9
29,12.1,10.3,1.3,Clear,Moderate,26.8,9.8,146,10.0
8,13.4,9.8,1.7,Rain,Moderate,22.8,11.7,120,11.4
16,16.8,9.2,1.2,Foggy,Calm,28.0,7.0,159,10.0
31,17.1,9.4,2.4,Foggy,Calm,25.9,7.0,145,10.2
22,16.2,10.7,3.2,Foggy,Calm,23.5,7.0,148,11.0
40,15.5,10.3,3.9,Clear,Moderate,21.9,8.4,132,10.0
8,14.1,10.3,2.0,Cloudy,Rough,22.4,9.8,137,10.0
35,18.3,9.6,3.5,Sunny,Calm,27.2,7.0,153,10.6
17,14.7,9.2,1.9,Sunny,Calm,25.8,7.6,147,11.4
25,13.5,9.4,1.7,Sunny,Calm,23.4,7.0,120,12.7
31,15.3,9.5,2.0,Foggy,Calm,27.6,8.6,121,12.1
27,15.3,10.3,3.6,Cloudy,Rough,23.4,9.3,180,13.4
37,16.0,9.6,3.8,Sunny,Calm,26.7,7.0,171,15.6
9,12.2,10.6,1.9,Foggy,Calm,24.8,7.3,144,11.0
9,16.9,10.5,4.0,Clear,Rough,27.9,7.3,121,10.0
19,15.4,9.2,1.9,Clear,Rough,21.9,7.4,151,10.0
40,17.5,10.1,2.4,Rain,Rough,23.7,7.1,145,11.3
1,19.0,9.8,3.7,Sunny,Calm,27.4,7.1,171,14.0
9,12.6,10.0,2.4,Rain,Rough,21.6,13.7,120,10.0
38,16.9,9.5,1.8,Sunny,Calm,28.5,7.0,151,11.0
41,19.5,11.4,2.0,Cloudy,Rough,22.6,7.7,170,10.2
10,19.5,11.3,4.0,Clear,Rough,24.3,7.0,163,13.3
22,15.2,10.9,2.7,Cloudy,Calm,21.0,10.3,141,10.4
19,12.8,9.5,2.2,Clear,Moderate,23.1,13.6,129,10.0
45,12.2,9.8,1.6,Rain,Moderate,26.9,11.1,133,10.9
10,18.2,10.0,2.1,Rain,Rough,22.3,10.0,165,11.5
25,17.8,10.1,2.6,Cloudy,Rough,21.9,7.4,126,10.0
43,12.5,9.8,1.6,Clear,Moderate,21.4,12.6,129,10.0
14,16.0,10.5,2.0,Clear,Rough,24.2,9.4,165,13.0
44,12.0,9.7,1.4,Sunny,Calm,24.3,8.1,133,11.6
39,19.4,10.8,2.3,Clear,Rough,24.9,9.7,157,10.1
12,12.9,9.6,2.2,Rain,Rough,21.0,7.0,120,10.0
29,14.0,9.8,1.4,Cloudy,Calm,26.3,7.6,120,10.1
26,18.2,9.4,3.1,Sunny,Calm,23.6,7.0,124,10.0
9,17.2,9.5,4.0,Foggy,Calm,29.0,7.0,175,12.8
17,18.1,10.6,3.6,Sunny,Rough,24.1,8.7,171,13.1
24,12.4,10.5,4.0,Foggy,Moderate,24.4,9.8,151,12.3
31,17.7,9.7,1.9,Sunny,Calm,29.0,7.0,195,13.5
28,19.4,11.6,3.6,Cloudy,Rough,27.7,8.6,185,15.1
20,12.2,9.6,2.4,Cloudy,Calm,22.4,10.0,120,10.0
39,15.4,10.6,2.6,Clear,Rough,25.1,11.3,120,10.3
47,14.6,10.0,2.4,Cloudy,Rough,24.6,9.8,165,13.5
10,16.6,10.1,3.4,Cloudy,Calm,25.0,7.7,157,14.9
8,16.8,10.6,3.4,Rain,Rough,27.5,7.7,160,10.0
29,14.1,9.8,2.4,Rain,Calm,22.2,7.0,120,10.0
16,12.0,10.1,2.2,Foggy,Moderate,23.2,10.0,126,10.2
14,17.9,10.1,2.3,Clear,Rough,21.0,9.8,148,10.0
35,15.3,10.9,3.4,Clear,Rough,24.8,9.0,159,10.3
42,13.3,9.2,1.8,Rain,Calm,25.3,9.4,120,10.0
40,17.0,10.5,3.8,Sunny,Calm,28.8,7.8,158,12.6
6,17.3,10.0,1.5,Cloudy,Rough,23.6,7.7,134,11.4
13,12.5,9.1,2.2,Cloudy,Calm,24.2,9.3,120,10.0
4,14.4,10.3,2.0,Cloudy,Rough,21.4,7.0,144,10.5
22,17.8,9.6,2.2,Cloudy,Calm,24.5,7.0,128,10.0
41,12.3,10.4,3.7,Rain,Rough,24.9,8.5,179,14.4
5,13.5,9.7,2.5,Cloudy,Moderate,26.8,11.7,120,10.0
13,13.7,9.6,2.1,Sunny,Calm,21.6,7.5,134,10.0
21,13.4,9.8,2.0,Rain,Rough,23.1,8.8,133,10.3
13,12.8,9.9,2.0,Cloudy,Rough,22.3,12.0,129,10.0
20,18.4,9.9,1.5,Rain,Rough,22.9,11.0,150,10.5
13,16.9,11.2,1.6,Sunny,Rough,21.0,8.3,152,14.9
43,13.7,9.8,1.8,Sunny,Moderate,23.2,8.0,120,10.0
24,13.2,9.9,2.1,Foggy,Calm,24.2,10.2,141,10.6
46,16.8,11.1,3.5,Foggy,Calm,26.8,8.6,162,10.6
40,16.6,9.1,1.5,Rain,Rough,25.3,11.7,146,12.6
23,16.5,9.7,3.9,Foggy,Calm,29.0,7.0,158,12.2
38,14.6,9.5,3.0,Rain,Moderate,23.1,10.9,126,10.0
13,13.2,10.7,1.0,Foggy,Calm,29.0,9.1,157,12.1
15,17.8,10.5,2.9,Sunny,Rough,25.0,7.0,148,11.4
11,12.0,9.9,1.9,Rain,Rough,21.9,11.7,141,11.3
13,16.3,9.1,2.3,Foggy,Rough,28.9,9.4,152,10.0
21,14.2,9.6,1.4,Rain,Moderate,23.4,11.8,133,10.0
1,19.3,9.5,1.9,Sunny,Calm,22.7,8.0,120,10.3
1,14.5,10.4,1.5,Sunny,Calm,23.2,8.2,151,10.4
24,13.5,9.2,2.3,Clear,Moderate,21.9,12.5,120,10.0
9,15.9,10.8,3.9,Rain,Rough,21.3,9.8,160,12.6
30,14.1,10.6,3.0,Cloudy,Calm,25.9,7.9,146,10.0
13,16.0,10.8,3.8,Sunny,Calm,26.8,7.0,164,13.1
43,13.4,9.0,2.2,Clear,Rough,21.0,9.8,125,11.1
22,17.6,10.6,4.0,Sunny,Rough,27.4,7.5,163,11.0
46,17.3,9.6,3.6,Foggy,Calm,24.9,7.0,154,10.8
33,15.7,9.4,1.5,Sunny,Calm,29.0,7.1,140,12.8
21,13.3,9.5,1.4,Rain,Moderate,22.7,7.0,123,10.0
13,17.6,10.9,3.9,Clear,Rough,23.7,8.6,172,10.5
18,12.0,9.0,1.9,Clear,Moderate,22.0,10.8,120,10.0
36,15.2,11.1,3.3,Sunny,Calm,29.0,7.0,144,12.4
21,17.5,10.3,4.0,Clear,Rough,25.6,8.8,164,15.3
17,14.8,10.1,2.1,Foggy,Calm,26.9,7.0,126,10.0
47,13.7,9.9,2.7,Sunny,Calm,25.5,7.0,125,10.5
20,17.9,10.3,2.7,Clear,Rough,23.9,9.3,122,10.2
2,18.6,10.4,2.5,Clear,Moderate,23.7,8.0,170,10.0
18,13.2,9.7,1.3,Rain,Moderate,24.0,13.2,138,10.0
37,19.5,10.7,3.7,Rain,Rough,23.5,9.8,155,10.3
12,17.7,11.4,3.3,Foggy,Calm,22.2,7.0,182,12.2
50,17.2,11.8,4.0,Sunny,Rough,23.4,9.3,181,14.3
36,17.9,9.9,2.8,Foggy,Calm,29.0,7.3,167,10.0
2,12.4,10.0,1.9,Sunny,Calm,22.1,7.0,120,10.5
19,16.4,9.4,3.7,Rain,Moderate,22.6,11.7,138,10.7
43,13.1,9.3,3.2,Rain,Moderate,22.8,11.3,120,10.4
22,14.8,9.9,2.3,Sunny,Calm,28.1,7.0,169,13.0
47,17.7,10.6,3.8,Cloudy,Rough,26.2,9.2,170,14.4
11,18.4,11.3,4.0,Foggy,Moderate,26.4,7.1,164,12.0
47,16.0,10.0,3.4,Cloudy,Calm,27.5,7.0,120,12.8
11,14.9,9.2,2.1,Sunny,Rough,28.4,7.4,166,10.5
9,17.6,10.0,4.0,Sunny,Rough,25.5,8.2,175,14.2
4,16.9,10.5,3.6,Clear,Rough,26.3,7.0,120,10.0
19,13.6,10.7,1.7,Sunny,Rough,29.0,7.7,123,10.5
5,12.9,9.1,2.2,Sunny,Rough,24.2,11.2,128,10.0
4,13.4,10.3,2.5,Clear,Rough,27.3,10.5,121,10.7
16,18.2,10.5,2.5,Clear,Rough,23.3,7.0,158,11.0
6,12.0,10.2,2.4,Foggy,Calm,26.2,7.0,143,10.5
30,13.5,9.8,2.7,Clear,Moderate,24.0,11.3,120,10.0
44,14.4,9.7,2.9,Foggy,Calm,25.3,7.6,134,10.9
15,19.2,10.4,4.0,Clear,Rough,23.9,7.0,156,13.4
11,16.5,10.7,3.5,Cloudy,Calm,25.9,7.5,172,14.3
39,19.3,10.3,2.3,Cloudy,Rough,25.8,7.3,167,13.8
16,14.1,9.6,1.7,Sunny,Calm,21.0,8.9,133,10.7
21,18.1,9.6,2.3,Cloudy,Rough,21.4,8.6,120,12.3
26,15.1,9.7,2.7,Sunny,Calm,24.9,7.0,122,11.5
43,16.1,11.0,3.1,Foggy,Calm,27.5,8.1,163,15.8
23,12.0,9.5,2.0,Foggy,Calm,26.1,7.2,120,10.0
14,17.5,11.2,4.0,Cloudy,Calm,25.2,8.2,166,13.0
34,16.8,11.1,2.7,Rain,Rough,28.0,7.6,155,14.2
28,17.3,10.3,3.7,Rain,Moderate,25.0,7.6,162,14.5
38,19.0,11.1,2.3,Sunny,Calm,25.9,7.8,164,14.2
17,12.1,10.2,1.9,Clear,Rough,24.1,13.3,120,10.0
45,19.0,10.5,3.3,Clear,Rough,22.2,7.7,158,12.4
12,16.6,9.9,1.8,Sunny,Calm,26.3,8.7,147,10.0
27,18.5,10.6,2.4,Sunny,Calm,27.2,7.0,145,13.9
1,19.0,11.1,3.5,Clear,Rough,24.9,9.5,147,14.7
20,15.6,9.8,4.0,Cloudy,Rough,24.3,7.4,167,11.5
15,15.4,9.7,3.2,Rain,Rough,21.0,9.5,164,11.6
11,18.7,10.2,4.0,Sunny,Rough,24.3,8.2,161,14.2
25,16.0,9.6,2.5,Clear,Moderate,28.4,7.0,160,11.1
50,14.2,9.9,1.6,Sunny,Calm,24.0,8.8,159,11.9
37,12.5,9.6,2.3,Foggy,Calm,23.6,7.2,140,10.9
15,12.7,9.3,1.8,Foggy,Calm,26.5,7.5,122,10.9
10,12.0,10.2,2.4,Rain,Moderate,27.4,13.2,128,10.0
38,16.1,9.6,3.4,Foggy,Calm,26.6,10.7,120,10.7
37,15.5,9.7,2.6,Foggy,Rough,29.0,7.3,138,10.0
14,13.4,9.5,1.6,Sunny,Calm,25.2,10.2,120,10.0
36,15.7,10.3,3.6,Rain,Calm,22.0,10.1,168,10.7
34,16.8,9.8,3.8,Sunny,Rough,28.2,7.7,170,13.8
39,15.0,9.8,4.0,Sunny,Calm,28.7,7.2,155,14.3
39,18.3,9.8,2.5,Sunny,Rough,27.7,8.5,175,13.3
37,13.1,9.6,2.0,Clear,Moderate,26.3,9.8,130,10.2
12,19.5,10.6,4.0,Clear,Rough,28.9,8.7,151,16.3
28,13.8,9.8,4.0,Cloudy,Rough,21.3,8.4,121,10.4
47,14.1,9.2,2.4,Rain,Calm,21.3,9.4,130,10.0
33,15.1,10.8,3.6,Foggy,Rough,28.1,7.0,169,12.8
15,15.5,9.5,1.9,Sunny,Rough,22.4,8.3,142,13.2
23,18.1,11.8,2.3,Cloudy,Rough,21.2,10.4,142,12.4
23,12.9,9.8,1.8,Clear,Rough,23.2,11.9,125,10.0
21,13.7,9.6,1.2,Clear,Rough,22.8,9.6,124,10.7
30,16.8,11.2,3.3,Sunny,Rough,24.2,7.9,183,15.0
42,17.8,9.5,2.2,Rain,Rough,24.4,10.7,140,10.0
20,13.1,10.1,2.0,Foggy,Calm,25.7,9.9,132,10.0
22,13.7,9.5,2.1,Foggy,Moderate,27.8,11.5,145,11.3
38,12.5,9.5,2.6,Clear,Moderate,21.8,8.7,120,10.0
50,12.4,9.4,2.3,Rain,Calm,21.7,9.5,122,10.0
17,15.8,9.9,2.0,Sunny,Calm,24.7,7.7,126,10.6
24,12.0,9.6,2.0,Rain,Moderate,26.3,11.0,120,10.0
21,16.0,10.0,3.2,Rain,Rough,22.8,9.6,168,13.2
20,12.2,9.8,2.5,Cloudy,Calm,24.0,7.9,120,11.2
47,12.8,10.0,2.1,Rain,Moderate,21.7,8.6,128,11.6
46,14.2,9.8,1.9,Sunny,Calm,23.3,9.3,144,11.0
28,16.6,10.8,2.4,Clear,Rough,21.3,9.9,146,10.8
19,12.0,9.3,1.9,Clear,Moderate,21.2,8.4,120,10.0
46,18.7,10.8,2.5,Sunny,Rough,25.7,11.2,121,10.0
37,14.8,11.0,2.8,Sunny,Calm,24.9,8.0,164,12.9
14,15.9,9.7,2.9,Clear,Rough,22.3,9.7,120,10.6
16,14.1,9.2,2.1,Rain,Moderate,28.7,9.6,124,10.2
14,15.5,10.2,2.4,Foggy,Calm,25.7,7.0,154,10.3
37,14.5,10.2,2.0,Foggy,Calm,22.9,7.0,157,10.0
42,18.3,11.2,3.7,Cloudy,Rough,26.9,9.0,158,15.3
37,17.7,11.4,3.6,Sunny,Rough,26.4,8.5,177,11.0
28,16.5,9.1,1.5,Foggy,Calm,21.7,7.0,161,12.1
10,13.0,9.1,1.9,Cloudy,Calm,23.7,11.5,120,10.0
15,13.8,9.7,3.9,Cloudy,Moderate,24.1,12.0,129,10.9
35,17.1,10.8,2.4,Rain,Rough,23.6,8.7,124,10.0
6,12.7,9.8,2.8,Rain,Moderate,24.1,11.8,125,10.0
9,16.9,10.2,3.8,Clear,Moderate,25.2,11.1,167,10.7
22,12.1,9.4,3.2,Foggy,Calm,29.0,7.0,120,10.0
9,15.6,10.1,3.7,Sunny,Calm,29.0,7.2,131,10.0
11,14.8,10.0,1.8,Foggy,Calm,28.5,7.9,145,10.0
20,15.9,10.7,1.6,Sunny,Calm,26.2,7.4,179,11.5
12,17.9,10.9,2.8,Foggy,Calm,29.0,7.9,171,10.7
14,12.0,9.1,1.6,Clear,Moderate,22.9,11.5,120,10.0
25,17.9,11.2,2.9,Rain,Calm,28.7,7.0,147,12.6
44,17.0,9.7,3.1,Cloudy,Rough,25.2,8.3,168,11.5
13,14.6,9.6,2.1,Sunny,Moderate,21.3,8.2,125,10.5
16,19.4,10.9,1.6,Rain,Moderate,21.4,10.1,134,10.0
28,13.6,11.1,3.4,Clear,Rough,21.6,7.4,131,10.7
16,16.6,9.9,1.5,Sunny,Calm,26.2,8.1,122,11.0
38,13.6,10.0,2.1,Rain,Moderate,21.7,12.1,131,10.0
24,13.3,9.6,2.2,Cloudy,Calm,23.1,8.9,132,11.9
37,12.7,10.1,2.4,Foggy,Rough,27.1,11.1,123,10.0
19,18.1,11.5,4.0,Sunny,Rough,22.9,10.1,161,13.2
35,17.8,10.3,1.6,Rain,Rough,22.0,9.7,144,10.0
16,14.6,10.0,2.4,Clear,Moderate,22.6,9.6,127,10.0
25,12.9,9.7,1.6,Foggy,Calm,28.6,10.4,120,10.0
45,12.0,9.3,1.9,Rain,Moderate,24.1,10.9,128,10.2
43,14.6,10.3,1.7,Clear,Rough,22.6,8.9,133,11.5
9,15.5,11.0,4.0,Foggy,Rough,24.2,9.2,185,13.1
2,13.1,9.5,1.9,Sunny,Calm,23.8,8.1,130,10.0
26,14.2,10.0,1.4,Rain,Moderate,24.3,11.0,120,10.0
24,12.0,9.4,1.9,Sunny,Calm,23.6,12.4,142,11.5
16,14.5,10.0,1.8,Rain,Moderate,21.2,11.8,141,10.5
10,15.8,10.0,2.4,Foggy,Calm,29.0,7.0,164,12.8
29,13.5,10.1,2.3,Foggy,Calm,27.0,7.2,145,11.3
13,14.2,10.1,3.1,Clear,Rough,21.9,7.9,149,12.0
19,15.3,10.0,2.2,Clear,Calm,23.5,9.3,120,12.0
28,14.8,9.8,1.7,Rain,Rough,21.2,8.1,156,12.9
14,17.8,10.5,2.1,Foggy,Rough,29.0,7.3,163,11.7
8,18.1,9.9,2.8,Cloudy,Calm,29.0,7.0,181,13.6
34,14.2,10.4,2.3,Cloudy,Moderate,25.7,10.0,128,10.0
39,19.5,10.5,4.0,Cloudy,Rough,25.1,7.0,168,16.7
29,15.7,11.1,2.9,Sunny,Calm,27.3,7.0,161,12.8
36,19.3,11.1,3.9,Sunny,Rough,26.6,7.0,176,13.4
21,13.4,9.1,2.5,Clear,Moderate,25.9,10.7,120,10.0
44,12.6,9.4,2.5,Rain,Calm,22.7,7.0,131,10.8
49,18.4,10.4,2.7,Sunny,Calm,22.2,7.0,143,10.6
8,19.5,9.3,1.6,Rain,Rough,27.3,9.0,160,10.0
13,14.9,9.5,1.6,Rain,Rough,22.0,10.1,137,10.2
28,17.4,10.2,3.3,Sunny,Calm,28.3,7.9,157,15.2
25,12.7,10.0,1.9,Sunny,Calm,23.9,7.9,132,10.6
25,12.5,10.0,2.8,Foggy,Calm,26.2,7.0,120,10.0
2,19.0,10.0,4.0,Cloudy,Calm,24.2,9.1,165,14.2
22,15.8,9.7,2.0,Rain,Rough,22.1,8.6,138,12.4
32,15.5,10.8,2.5,Sunny,Calm,27.3,8.2,170,12.8
12,16.9,10.1,1.9,Foggy,Calm,25.1,7.0,157,13.1
1,17.3,10.8,2.4,Sunny,Calm,25.9,7.0,165,14.7
33,18.9,10.2,3.3,Rain,Rough,27.7,7.9,146,14.4
20,14.6,10.1,2.0,Clear,Rough,25.0,12.3,162,10.3
37,16.4,11.2,2.8,Foggy,Calm,28.7,7.0,179,14.8
40,13.4,9.9,2.8,Clear,Moderate,24.1,11.6,131,10.0
14,15.8,9.2,2.5,Rain,Moderate,22.7,10.0,127,11.0
40,13.2,9.5,1.8,Clear,Moderate,24.4,10.8,120,10.0
21,14.4,9.8,1.9,Clear,Moderate,23.6,13.0,120,10.0
14,17.3,10.0,3.1,Sunny,Calm,25.0,7.1,155,10.3
38,15.8,10.2,1.7,Rain,Moderate,21.3,9.3,123,10.0
17,16.5,10.7,3.2,Cloudy,Rough,22.3,7.1,139,11.9
16,18.2,9.7,2.4,Clear,Moderate,24.2,8.0,159,11.8
43,13.6,9.3,1.8,Clear,Moderate,25.0,11.2,120,10.0
32,19.5,11.1,4.0,Clear,Rough,25.5,8.8,193,14.8
23,13.2,9.7,3.7,Clear,Rough,26.9,9.7,129,11.9
3,15.7,10.9,1.6,Rain,Moderate,21.0,9.8,120,10.2
36,18.1,11.0,3.8,Clear,Rough,24.0,9.8,156,13.2
22,15.9,9.3,3.4,Sunny,Calm,29.0,7.6,132,10.2
4,12.9,9.2,2.2,Clear,Rough,22.5,11.9,122,10.2
23,18.8,10.2,3.6,Clear,Rough,27.5,7.0,156,11.8
7,14.4,9.0,2.5,Sunny,Moderate,23.7,9.3,161,10.0
9,13.9,10.0,3.3,Rain,Moderate,24.0,12.3,138,10.0
40,19.4,11.2,2.4,Rain,Rough,25.5,7.0,144,13.9
18,16.1,9.0,2.1,Sunny,Moderate,23.8,7.0,125,11.6
9,13.5,9.8,2.5,Clear,Moderate,24.3,12.0,120,10.0
26,12.4,9.9,3.0,Clear,Calm,22.7,10.2,120,10.0
8,17.3,10.6,2.2,Foggy,Calm,29.0,7.0,160,13.6
7,14.5,9.3,2.3,Rain,Moderate,22.9,7.7,120,10.0
45,16.9,10.3,4.0,Foggy,Calm,27.5,7.5,160,11.6
23,13.7,9.9,1.9,Rain,Moderate,26.4,10.2,130,10.0
3,16.3,10.0,2.1,Sunny,Calm,25.1,8.8,125,10.7
7,13.5,9.2,2.4,Clear,Rough,23.6,11.3,135,10.3
18,15.9,10.2,2.5,Sunny,Calm,28.0,7.1,169,13.4
43,12.6,9.5,2.5,Rain,Moderate,23.2,8.9,125,10.2
23,16.9,10.8,3.1,Clear,Rough,24.2,8.6,165,11.0
15,13.6,10.0,3.2,Sunny,Calm,22.9,8.3,170,10.4
49,17.5,9.8,2.3,Clear,Calm,24.1,15.0,172,10.0
42,12.2,9.9,2.1,Rain,Moderate,26.3,7.8,130,10.0
43,17.6,10.4,1.8,Cloudy,Rough,25.2,8.5,167,14.9
49,13.3,9.0,1.9,Clear,Moderate,22.3,12.1,124,10.6
16,12.9,9.2,2.2,Sunny,Moderate,22.8,11.3,121,10.2
37,18.4,9.8,2.4,Cloudy,Rough,23.8,8.5,172,10.3
21,14.6,11.3,2.2,Sunny,Rough,22.9,8.6,120,12.6
20,12.0,9.0,1.7,Foggy,Calm,24.9,9.7,120,10.0
30,15.4,9.8,3.5,Foggy,Calm,21.9,8.1,135,12.0
26,15.3,10.9,2.0,Clear,Rough,24.1,8.7,129,11.8
40,13.6,10.1,3.1,Clear,Moderate,22.4,8.0,120,11.0
11,13.9,10.9,2.2,Sunny,Rough,24.6,13.3,130,12.0
23,13.5,9.6,1.9,Cloudy,Calm,25.9,7.0,124,12.8
50,14.0,9.8,2.6,Clear,Moderate,28.9,8.9,145,10.0
50,17.4,10.5,2.3,Clear,Rough,21.4,9.1,150,10.0
38,12.0,10.6,1.0,Foggy,Calm,23.3,7.1,165,13.7
42,15.4,9.7,2.6,Clear,Rough,21.0,10.0,127,12.3
10,13.9,9.8,2.1,Clear,Rough,22.3,10.1,125,10.0
20,17.4,9.7,2.2,Foggy,Calm,28.0,7.0,148,11.1
18,13.3,9.8,2.4,Foggy,Calm,26.7,10.3,124,10.0
22,13.8,10.2,2.2,Foggy,Calm,25.7,7.5,150,13.8
6,16.9,9.0,1.9,Cloudy,Calm,26.0,7.3,124,10.0
36,17.8,11.4,4.0,Clear,Rough,26.2,7.6,164,14.5
19,12.9,10.1,2.8,Foggy,Moderate,25.4,8.8,120,10.0
12,12.0,9.4,2.2,Clear,Moderate,23.6,12.8,120,10.0
19,18.4,10.0,2.7,Cloudy,Moderate,22.7,7.0,172,11.2
6,15.5,11.5,4.0,Clear,Rough,24.9,10.1,139,13.0
2,15.3,9.7,3.1,Sunny,Calm,29.0,7.1,138,10.0
34,12.0,10.0,2.1,Rain,Moderate,24.1,11.5,121,10.0
7,12.8,9.3,2.2,Clear,Moderate,22.5,11.1,120,10.0
4,17.2,9.9,2.2,Clear,Calm,26.9,13.2,120,10.0
28,13.8,9.7,1.8,Sunny,Moderate,23.5,10.5,128,10.0
11,17.9,10.8,2.7,Rain,Rough,21.0,7.6,148,13.0
19,14.2,9.5,2.3,Clear,Moderate,26.4,10.2,127,10.6
21,16.7,10.2,4.0,Cloudy,Rough,22.4,7.6,157,11.1
25,18.4,11.7,3.6,Sunny,Rough,24.5,11.2,173,14.0
25,16.6,9.6,1.8,Cloudy,Calm,22.8,9.5,192,10.8
18,14.6,10.1,1.8,Rain,Rough,24.2,13.5,129,10.5
11,14.3,10.1,2.4,Rain,Moderate,28.2,7.0,128,10.0
14,13.9,10.0,1.6,Sunny,Calm,26.8,10.1,169,10.5
40,16.8,9.8,3.0,Sunny,Calm,29.0,7.5,168,15.5
42,12.7,9.7,1.6,Rain,Moderate,21.0,11.1,120,10.0
17,13.1,9.5,1.3,Rain,Moderate,24.5,11.5,122,10.0
16,15.2,10.8,4.0,Cloudy,Rough,22.2,11.1,178,16.3
28,17.3,10.5,4.0,Sunny,Calm,25.4,7.7,175,15.0
41,17.2,10.2,2.6,Foggy,Calm,27.3,7.6,169,10.9
16,14.4,9.1,1.8,Sunny,Calm,29.0,7.7,120,10.0
13,17.7,9.3,3.5,Sunny,Calm,24.6,7.0,125,10.8
21,13.0,9.6,2.4,Clear,Moderate,23.2,13.5,127,10.0
43,18.5,11.4,4.0,Sunny,Rough,27.6,8.3,193,14.8
39,14.2,9.2,1.6,Cloudy,Calm,24.2,8.3,140,10.0
6,15.7,11.4,4.0,Clear,Rough,29.0,9.8,177,11.8
21,19.5,11.0,3.1,Cloudy,Rough,27.7,7.5,194,10.6
18,15.4,9.3,4.0,Cloudy,Rough,23.5,10.2,136,10.8
39,12.3,10.5,3.6,Clear,Moderate,22.2,9.9,124,10.0
7,15.1,9.5,2.5,Cloudy,Rough,21.0,11.9,127,10.0
37,12.5,9.8,2.8,Foggy,Calm,28.3,8.4,148,10.3
17,12.0,9.5,3.1,Clear,Rough,22.0,9.1,120,10.5
15,13.7,9.2,1.8,Rain,Moderate,23.2,8.9,120,10.0
15,16.6,10.3,2.1,Foggy,Calm,24.0,11.9,144,13.6
50,15.0,9.8,4.0,Foggy,Calm,28.8,7.3,172,14.6
19,17.6,10.4,3.7,Foggy,Calm,27.9,7.0,162,12.9
9,15.5,9.7,1.6,Foggy,Calm,26.2,8.1,125,11.1
14,16.9,10.6,3.4,Sunny,Rough,28.7,7.1,182,11.8
5,15.6,11.0,3.6,Cloudy,Calm,27.2,7.7,149,10.6
42,16.9,10.4,4.0,Clear,Rough,21.9,7.6,171,13.0
19,15.6,10.1,1.8,Rain,Moderate,23.1,11.3,120,10.0
36,16.8,12.0,2.8,Cloudy,Rough,25.3,8.3,157,13.2
31,12.1,10.3,2.1,Rain,Calm,26.5,7.0,130,12.2
24,16.2,11.3,4.0,Foggy,Calm,27.2,7.0,165,15.6
18,15.5,10.7,2.4,Sunny,Rough,25.1,8.8,165,14.4
42,14.8,10.8,2.6,Sunny,Calm,29.0,7.6,148,13.2
