Voyage_ID,Sailing_Speed,Draft,Trim,Weather_Condition,Sea_Condition,Water_Temperature,Fuel_Consumption_Rate,Distance_Traveled,Time_Duration,seaWaterTemp,wind_speed,wind_direction,sea_current_speed,sea_current_direction,combined_wave_height,combined_wave_direction,displacement
21,13.3,9.9,1.5,Cloudy,Calm,23.2,9.5,145,11.1,23.51,1,10,3,136,3.68,18,113222
47,14.8,9.2,1.7,Foggy,Calm,25.0,7.0,154,10.2,1.62,11,6,6,29,4.03,70,105702
39,12.7,9.6,1.8,Cloudy,Calm,23.8,7.6,130,10.7,14.33,18,158,2,164,7.5,17,85078
29,15.5,9.8,1.9,Sunny,Calm,24.1,10.5,160,10.0,9.63,24,67,3,90,2.47,153,135227
48,15.9,10.7,3.7,Cloudy,Rough,24.7,8.8,172,10.9,7.29,12,19,3,118,6.67,24,68400
12,13.4,9.5,2.2,Clear,Moderate,21.6,9.8,132,10.0,22.23,17,39,6,119,2.63,164,145383
11,17.6,11.4,3.7,Rain,Rough,23.6,8.2,169,15.2,28.11,6,62,7,30,0.73,177,146303
35,18.7,9.8,2.0,Cloudy,Calm,23.7,7.0,153,14.4,3.86,13,82,0,15,6.78,104,95141
22,13.5,10.1,2.2,Rain,Moderate,26.2,11.0,121,10.0,22.44,23,147,0,127,6.52,41,153119
24,13.2,9.9,2.0,Sunny,Calm,25.7,10.4,120,11.2,12.92,25,57,4,126,4.72,106,81808
11,17.5,10.0,1.8,Rain,Calm,24.0,10.0,153,10.0,27.36,27,103,3,102,7.12,52,115027
42,18.6,11.2,1.8,Sunny,Moderate,25.7,7.0,150,10.0,8.43,28,88,3,120,7.47,27,113316
33,14.4,10.1,2.1,Cloudy,Rough,21.8,9.2,143,10.0,24.99,25,171,3,47,6.97,54,164684
10,18.4,11.0,3.7,Cloudy,Rough,23.9,7.7,163,12.0,24.02,21,96,0,102,7.37,15,97454
12,17.6,9.9,3.1,Sunny,Calm,27.2,7.0,143,14.8,4.07,8,153,5,54,5.68,174,160566
43,17.0,10.1,2.4,Foggy,Rough,25.0,8.7,165,12.1,5.58,20,136,5,90,1.01,64,78725
3,17.1,9.7,2.0,Sunny,Calm,24.7,7.1,141,10.9,27.46,8,144,7,133,4.3,110,85939
29,12.1,10.3,1.3,Clear,Moderate,26.8,9.8,146,10.0,6.14,29,73,3,31,7.86,94,146212
8,13.4,9.8,1.7,Rain,Moderate,22.8,11.7,120,11.4,19.35,19,68,4,171,0.45,89,147644
16,16.8,9.2,1.2,Foggy,Calm,28.0,7.0,159,10.0,12.83,13,169,4,112,0.68,16,134226
31,17.1,9.4,2.4,Foggy,Calm,25.9,7.0,145,10.2,9.34,22,139,6,31,4.27,101,79479
22,16.2,10.7,3.2,Foggy,Calm,23.5,7.0,148,11.0,9.62,5,67,3,85,6.2,178,144217
40,15.5,10.3,3.9,Clear,Moderate,21.9,8.4,132,10.0,10.2,12,154,0,24,6.18,28,150870
8,14.1,10.3,2.0,Cloudy,Rough,22.4,9.8,137,10.0,14.08,10,52,0,39,1.47,80,85822
35,18.3,9.6,3.5,Sunny,Calm,27.2,7.0,153,10.6,2.56,12,76,0,77,7.99,102,78606
17,14.7,9.2,1.9,Sunny,Calm,25.8,7.6,147,11.4,7.21,21,86,7,68,0.79,22,65651
25,13.5,9.4,1.7,Sunny,Calm,23.4,7.0,120,12.7,27.39,24,37,7,34,7.04,24,137076
31,15.3,9.5,2.0,Foggy,Calm,27.6,8.6,121,12.1,30.72,26,50,3,18,4.79,91,83253
27,15.3,10.3,3.6,Cloudy,Rough,23.4,9.3,180,13.4,22.39,8,12,1,115,1.14,54,69831
37,16.0,9.6,3.8,Sunny,Calm,26.7,7.0,171,15.6,10.26,30,11,3,26,3.81,33,99631
9,12.2,10.6,1.9,Foggy,Calm,24.8,7.3,144,11.0,6.18,1,110,1,8,3.33,9,162978
9,16.9,10.5,4.0,Clear,Rough,27.9,7.3,121,10.0,3.43,20,121,0,75,7.33,40,95294
19,15.4,9.2,1.9,Clear,Rough,21.9,7.4,151,10.0,10.51,21,48,4,134,4.42,10,71603
40,17.5,10.1,2.4,Rain,Rough,23.7,7.1,145,11.3,18.73,30,137,1,30,0.26,48,158638
1,19.0,9.8,3.7,Sunny,Calm,27.4,7.1,171,14.0,6.65,14,108,5,41,4.53,112,163219
9,12.6,10.0,2.4,Rain,Rough,21.6,13.7,120,10.0,2.12,2,44,1,97,0.01,75,141439
38,16.9,9.5,1.8,Sunny,Calm,28.5,7.0,151,11.0,27.95,16,158,3,79,0.31,29,92714
41,19.5,11.4,2.0,Cloudy,Rough,22.6,7.7,170,10.2,18.46,23,137,7,178,2.59,146,92464
10,19.5,11.3,4.0,Clear,Rough,24.3,7.0,163,13.3,10.31,28,165,4,167,7.42,138,150332
22,15.2,10.9,2.7,Cloudy,Calm,21.0,10.3,141,10.4,16.71,9,48,0,77,6.34,55,120126
19,12.8,9.5,2.2,Clear,Moderate,23.1,13.6,129,10.0,10.91,16,174,0,59,7.36,12,145076
45,12.2,9.8,1.6,Rain,Moderate,26.9,11.1,133,10.9,8.11,12,7,4,134,0.62,10,102734
10,18.2,10.0,2.1,Rain,Rough,22.3,10.0,165,11.5,27.69,29,4,0,168,6.37,51,149895
25,17.8,10.1,2.6,Cloudy,Rough,21.9,7.4,126,10.0,25.83,24,158,5,38,0.21,133,124487
43,12.5,9.8,1.6,Clear,Moderate,21.4,12.6,129,10.0,5.07,22,129,2,53,2.82,68,86886
14,16.0,10.5,2.0,Clear,Rough,24.2,9.4,165,13.0,3.83,26,86,4,5,0.79,158,118885
44,12.0,9.7,1.4,Sunny,Calm,24.3,8.1,133,11.6,30.15,5,149,5,99,6.54,156,83041
39,19.4,10.8,2.3,Clear,Rough,24.9,9.7,157,10.1,2.97,2,69,3,25,4.68,13,144142
12,12.9,9.6,2.2,Rain,Rough,21.0,7.0,120,10.0,17.56,14,1,6,61,2.66,31,106729
29,14.0,9.8,1.4,Cloudy,Calm,26.3,7.6,120,10.1,3.78,11,164,2,152,7.7,97,126443
26,18.2,9.4,3.1,Sunny,Calm,23.6,7.0,124,10.0,21.56,10,102,6,34,5.67,112,148814
9,17.2,9.5,4.0,Foggy,Calm,29.0,7.0,175,12.8,5.04,27,4,1,15,3.66,64,155038
17,18.1,10.6,3.6,Sunny,Rough,24.1,8.7,171,13.1,24.46,18,61,1,95,5.53,135,101144
24,12.4,10.5,4.0,Foggy,Moderate,24.4,9.8,151,12.3,1.32,22,75,2,92,1.28,79,149336
31,17.7,9.7,1.9,Sunny,Calm,29.0,7.0,195,13.5,20.57,2,124,5,17,3.02,69,143108
28,19.4,11.6,3.6,Cloudy,Rough,27.7,8.6,185,15.1,16.35,12,38,3,144,3.15,171,162902
20,12.2,9.6,2.4,Cloudy,Calm,22.4,10.0,120,10.0,7.09,21,53,1,55,0.86,71,106451
39,15.4,10.6,2.6,Clear,Rough,25.1,11.3,120,10.3,9.58,14,105,1,160,7.31,165,160586
47,14.6,10.0,2.4,Cloudy,Rough,24.6,9.8,165,13.5,5.5,11,156,7,106,4.26,37,136741
10,16.6,10.1,3.4,Cloudy,Calm,25.0,7.7,157,14.9,27.22,23,123,2,135,0.94,85,96296
8,16.8,10.6,3.4,Rain,Rough,27.5,7.7,160,10.0,7.0,15,109,1,60,3.99,11,86084
29,14.1,9.8,2.4,Rain,Calm,22.2,7.0,120,10.0,23.22,14,88,7,55,4.48,91,150098
16,12.0,10.1,2.2,Foggy,Moderate,23.2,10.0,126,10.2,7.16,11,111,6,127,5.13,27,120053
14,17.9,10.1,2.3,Clear,Rough,21.0,9.8,148,10.0,18.65,8,83,1,58,6.24,98,104769
35,15.3,10.9,3.4,Clear,Rough,24.8,9.0,159,10.3,1.88,19,123,0,155,2.13,5,127370
42,13.3,9.2,1.8,Rain,Calm,25.3,9.4,120,10.0,24.49,1,22,1,54,7.96,72,99953
40,17.0,10.5,3.8,Sunny,Calm,28.8,7.8,158,12.6,24.26,1,2,3,4,0.23,100,115147
6,17.3,10.0,1.5,Cloudy,Rough,23.6,7.7,134,11.4,15.49,10,73,2,8,6.56,170,143434
13,12.5,9.1,2.2,Cloudy,Calm,24.2,9.3,120,10.0,24.19,22,1,5,13,4.39,135,124924
4,14.4,10.3,2.0,Cloudy,Rough,21.4,7.0,144,10.5,21.77,16,53,2,125,6.86,81,159714
22,17.8,9.6,2.2,Cloudy,Calm,24.5,7.0,128,10.0,12.04,3,146,0,35,0.45,124,103034
41,12.3,10.4,3.7,Rain,Rough,24.9,8.5,179,14.4,15.32,14,126,6,124,5.94,40,159463
5,13.5,9.7,2.5,Cloudy,Moderate,26.8,11.7,120,10.0,24.67,2,153,1,145,2.24,121,103884
13,13.7,9.6,2.1,Sunny,Calm,21.6,7.5,134,10.0,9.61,6,69,3,129,7.65,86,75285
21,13.4,9.8,2.0,Rain,Rough,23.1,8.8,133,10.3,17.34,28,82,5,65,5.29,85,136073
13,12.8,9.9,2.0,Cloudy,Rough,22.3,12.0,129,10.0,8.42,15,126,7,116,6.28,70,143483
20,18.4,9.9,1.5,Rain,Rough,22.9,11.0,150,10.5,29.37,1,97,1,48,1.09,90,111704
13,16.9,11.2,1.6,Sunny,Rough,21.0,8.3,152,14.9,10.54,17,38,2,107,1.01,162,155751
43,13.7,9.8,1.8,Sunny,Moderate,23.2,8.0,120,10.0,30.36,12,116,7,145,4.95,138,125637
24,13.2,9.9,2.1,Foggy,Calm,24.2,10.2,141,10.6,26.89,4,42,0,102,1.14,94,140859
46,16.8,11.1,3.5,Foggy,Calm,26.8,8.6,162,10.6,9.05,19,102,7,72,6.47,116,125083
40,16.6,9.1,1.5,Rain,Rough,25.3,11.7,146,12.6,24.18,6,162,1,157,0.35,74,82599
23,16.5,9.7,3.9,Foggy,Calm,29.0,7.0,158,12.2,8.04,3,172,6,149,7.14,70,124433
38,14.6,9.5,3.0,Rain,Moderate,23.1,10.9,126,10.0,19.14,4,116,7,59,2.4,40,122478
13,13.2,10.7,1.0,Foggy,Calm,29.0,9.1,157,12.1,9.12,12,78,5,41,1.03,53,103723
15,17.8,10.5,2.9,Sunny,Rough,25.0,7.0,148,11.4,2.24,23,71,3,133,7.09,103,88657
11,12.0,9.9,1.9,Rain,Rough,21.9,11.7,141,11.3,9.82,23,98,4,55,4.23,68,141611
13,16.3,9.1,2.3,Foggy,Rough,28.9,9.4,152,10.0,6.51,13,154,4,95,3.84,66,94060
21,14.2,9.6,1.4,Rain,Moderate,23.4,11.8,133,10.0,1.45,22,108,5,65,4.49,83,99919
1,19.3,9.5,1.9,Sunny,Calm,22.7,8.0,120,10.3,27.69,22,34,5,41,4.1,4,82226
1,14.5,10.4,1.5,Sunny,Calm,23.2,8.2,151,10.4,6.27,28,36,0,92,2.22,2,110002
24,13.5,9.2,2.3,Clear,Moderate,21.9,12.5,120,10.0,10.86,1,76,1,84,5.29,51,93975
9,15.9,10.8,3.9,Rain,Rough,21.3,9.8,160,12.6,9.64,21,130,2,117,6.84,134,143545
30,14.1,10.6,3.0,Cloudy,Calm,25.9,7.9,146,10.0,4.31,1,106,2,96,1.99,131,117012
13,16.0,10.8,3.8,Sunny,Calm,26.8,7.0,164,13.1,16.53,6,120,2,75,0.42,88,85182
43,13.4,9.0,2.2,Clear,Rough,21.0,9.8,125,11.1,8.84,11,65,1,14,4.48,51,90363
22,17.6,10.6,4.0,Sunny,Rough,27.4,7.5,163,11.0,11.88,20,129,6,110,5.35,162,72993
46,17.3,9.6,3.6,Foggy,Calm,24.9,7.0,154,10.8,28.69,21,95,4,140,0.21,126,66106
33,15.7,9.4,1.5,Sunny,Calm,29.0,7.1,140,12.8,2.21,12,128,3,169,2.43,156,136778
21,13.3,9.5,1.4,Rain,Moderate,22.7,7.0,123,10.0,4.36,4,124,5,61,1.48,49,104403
13,17.6,10.9,3.9,Clear,Rough,23.7,8.6,172,10.5,22.79,8,54,4,136,7.13,14,95958
18,12.0,9.0,1.9,Clear,Moderate,22.0,10.8,120,10.0,8.79,14,58,6,38,3.82,48,73480
36,15.2,11.1,3.3,Sunny,Calm,29.0,7.0,144,12.4,5.04,24,75,3,152,5.02,166,150175
21,17.5,10.3,4.0,Clear,Rough,25.6,8.8,164,15.3,1.3,3,96,1,86,3.9,177,134720
17,14.8,10.1,2.1,Foggy,Calm,26.9,7.0,126,10.0,12.82,22,33,0,173,1.03,53,83332
47,13.7,9.9,2.7,Sunny,Calm,25.5,7.0,125,10.5,26.97,18,144,4,174,6.74,122,116512
20,17.9,10.3,2.7,Clear,Rough,23.9,9.3,122,10.2,10.93,4,30,1,46,1.91,63,72130
2,18.6,10.4,2.5,Clear,Moderate,23.7,8.0,170,10.0,10.23,12,66,0,88,4.9,74,108462
18,13.2,9.7,1.3,Rain,Moderate,24.0,13.2,138,10.0,16.08,25,57,0,33,5.1,29,140143
37,19.5,10.7,3.7,Rain,Rough,23.5,9.8,155,10.3,3.92,19,158,6,62,7.26,126,144316
12,17.7,11.4,3.3,Foggy,Calm,22.2,7.0,182,12.2,22.52,30,86,2,36,4.15,95,92165
50,17.2,11.8,4.0,Sunny,Rough,23.4,9.3,181,14.3,30.74,11,53,5,19,0.64,111,86658
36,17.9,9.9,2.8,Foggy,Calm,29.0,7.3,167,10.0,29.05,7,11,5,63,2.59,106,102271
2,12.4,10.0,1.9,Sunny,Calm,22.1,7.0,120,10.5,16.94,15,36,6,73,0.36,154,78157
19,16.4,9.4,3.7,Rain,Moderate,22.6,11.7,138,10.7,18.92,3,123,2,116,6.58,9,145398
43,13.1,9.3,3.2,Rain,Moderate,22.8,11.3,120,10.4,10.74,28,93,6,114,6.49,130,113636
22,14.8,9.9,2.3,Sunny,Calm,28.1,7.0,169,13.0,3.93,15,174,7,149,5.4,47,141683
47,17.7,10.6,3.8,Cloudy,Rough,26.2,9.2,170,14.4,8.83,3,6,3,52,4.17,94,118790
11,18.4,11.3,4.0,Foggy,Moderate,26.4,7.1,164,12.0,13.79,26,136,5,54,4.28,40,116987
47,16.0,10.0,3.4,Cloudy,Calm,27.5,7.0,120,12.8,14.04,26,93,3,151,0.03,3,147307
11,14.9,9.2,2.1,Sunny,Rough,28.4,7.4,166,10.5,14.19,13,176,1,103,2.03,90,133372
9,17.6,10.0,4.0,Sunny,Rough,25.5,8.2,175,14.2,12.27,16,86,2,114,1.11,71,96500
4,16.9,10.5,3.6,Clear,Rough,26.3,7.0,120,10.0,27.09,29,77,0,148,5.45,82,153623
19,13.6,10.7,1.7,Sunny,Rough,29.0,7.7,123,10.5,7.09,17,179,3,141,0.52,145,87257
5,12.9,9.1,2.2,Sunny,Rough,24.2,11.2,128,10.0,15.29,11,169,4,42,5.44,156,139425
4,13.4,10.3,2.5,Clear,Rough,27.3,10.5,121,10.7,25.33,16,98,3,70,5.18,58,149161
16,18.2,10.5,2.5,Clear,Rough,23.3,7.0,158,11.0,29.95,30,164,1,91,3.4,125,102763
6,12.0,10.2,2.4,Foggy,Calm,26.2,7.0,143,10.5,10.42,24,96,7,4,6.36,126,82572
30,13.5,9.8,2.7,Clear,Moderate,24.0,11.3,120,10.0,7.55,11,53,6,169,0.35,141,75311
44,14.4,9.7,2.9,Foggy,Calm,25.3,7.6,134,10.9,2.48,3,153,5,98,4.16,26,130807
15,19.2,10.4,4.0,Clear,Rough,23.9,7.0,156,13.4,28.56,3,137,3,120,7.87,164,154974
11,16.5,10.7,3.5,Cloudy,Calm,25.9,7.5,172,14.3,4.3,17,73,5,13,4.59,128,163213
39,19.3,10.3,2.3,Cloudy,Rough,25.8,7.3,167,13.8,15.1,4,153,1,175,6.85,140,88802
16,14.1,9.6,1.7,Sunny,Calm,21.0,8.9,133,10.7,26.74,25,49,4,143,3.19,23,133290
21,18.1,9.6,2.3,Cloudy,Rough,21.4,8.6,120,12.3,6.3,24,157,2,73,0.46,94,152380
26,15.1,9.7,2.7,Sunny,Calm,24.9,7.0,122,11.5,18.03,22,95,6,178,2.31,60,113743
43,16.1,11.0,3.1,Foggy,Calm,27.5,8.1,163,15.8,21.67,29,27,1,130,6.73,36,80487
23,12.0,9.5,2.0,Foggy,Calm,26.1,7.2,120,10.0,3.28,30,158,7,38,1.75,20,144943
14,17.5,11.2,4.0,Cloudy,Calm,25.2,8.2,166,13.0,11.41,7,28,3,125,7.06,13,132956
34,16.8,11.1,2.7,Rain,Rough,28.0,7.6,155,14.2,5.37,6,55,0,150,5.89,19,147867
28,17.3,10.3,3.7,Rain,Moderate,25.0,7.6,162,14.5,24.83,21,48,0,177,0.86,60,75518
38,19.0,11.1,2.3,Sunny,Calm,25.9,7.8,164,14.2,30.66,13,85,1,99,6.6,94,129674
17,12.1,10.2,1.9,Clear,Rough,24.1,13.3,120,10.0,26.53,17,113,5,73,1.37,143,141644
45,19.0,10.5,3.3,Clear,Rough,22.2,7.7,158,12.4,1.79,7,29,1,11,2.99,147,131227
12,16.6,9.9,1.8,Sunny,Calm,26.3,8.7,147,10.0,30.77,19,5,6,79,0.14,6,120673
27,18.5,10.6,2.4,Sunny,Calm,27.2,7.0,145,13.9,12.6,1,144,4,178,6.58,61,133778
1,19.0,11.1,3.5,Clear,Rough,24.9,9.5,147,14.7,25.93,4,160,5,134,7.17,109,88365
20,15.6,9.8,4.0,Cloudy,Rough,24.3,7.4,167,11.5,6.11,26,174,0,30,1.51,84,74038
15,15.4,9.7,3.2,Rain,Rough,21.0,9.5,164,11.6,8.55,17,171,7,167,1.92,168,139168
11,18.7,10.2,4.0,Sunny,Rough,24.3,8.2,161,14.2,4.34,13,49,1,56,6.02,12,78227
25,16.0,9.6,2.5,Clear,Moderate,28.4,7.0,160,11.1,3.68,2,12,1,104,7.24,145,78185
50,14.2,9.9,1.6,Sunny,Calm,24.0,8.8,159,11.9,26.46,6,178,7,60,6.83,15,98566
37,12.5,9.6,2.3,Foggy,Calm,23.6,7.2,140,10.9,17.12,3,104,5,46,4.51,63,111867
15,12.7,9.3,1.8,Foggy,Calm,26.5,7.5,122,10.9,20.6,19,36,0,50,6.04,169,107539
10,12.0,10.2,2.4,Rain,Moderate,27.4,13.2,128,10.0,22.89,17,60,4,139,2.03,104,139269
38,16.1,9.6,3.4,Foggy,Calm,26.6,10.7,120,10.7,20.47,11,103,0,64,0.68,11,89156
37,15.5,9.7,2.6,Foggy,Rough,29.0,7.3,138,10.0,13.1,11,61,7,177,6.72,56,109520
14,13.4,9.5,1.6,Sunny,Calm,25.2,10.2,120,10.0,18.62,14,4,7,157,7.29,131,70704
36,15.7,10.3,3.6,Rain,Calm,22.0,10.1,168,10.7,25.2,12,17,1,19,5.99,68,140827
34,16.8,9.8,3.8,Sunny,Rough,28.2,7.7,170,13.8,2.95,2,111,1,66,1.87,70,85877
39,15.0,9.8,4.0,Sunny,Calm,28.7,7.2,155,14.3,29.66,18,148,0,131,2.97,6,126605
39,18.3,9.8,2.5,Sunny,Rough,27.7,8.5,175,13.3,7.27,19,137,6,105,3.5,126,113501
37,13.1,9.6,2.0,Clear,Moderate,26.3,9.8,130,10.2,13.12,1,40,0,33,7.44,104,148447
12,19.5,10.6,4.0,Clear,Rough,28.9,8.7,151,16.3,13.42,30,127,7,3,7.88,127,130288
28,13.8,9.8,4.0,Cloudy,Rough,21.3,8.4,121,10.4,20.86,26,110,5,71,7.8,105,71357
47,14.1,9.2,2.4,Rain,Calm,21.3,9.4,130,10.0,18.04,0,27,7,81,0.92,135,70239
33,15.1,10.8,3.6,Foggy,Rough,28.1,7.0,169,12.8,24.06,6,177,6,145,3.54,25,164162
15,15.5,9.5,1.9,Sunny,Rough,22.4,8.3,142,13.2,6.06,9,35,5,112,4.7,149,81144
23,18.1,11.8,2.3,Cloudy,Rough,21.2,10.4,142,12.4,23.44,2,69,4,64,7.05,95,122934
23,12.9,9.8,1.8,Clear,Rough,23.2,11.9,125,10.0,20.43,23,64,5,23,1.88,20,97355
21,13.7,9.6,1.2,Clear,Rough,22.8,9.6,124,10.7,20.9,0,105,5,38,7.54,106,157787
30,16.8,11.2,3.3,Sunny,Rough,24.2,7.9,183,15.0,30.29,16,42,2,73,1.81,95,117934
42,17.8,9.5,2.2,Rain,Rough,24.4,10.7,140,10.0,6.85,9,161,3,77,0.2,53,69531
20,13.1,10.1,2.0,Foggy,Calm,25.7,9.9,132,10.0,2.99,29,17,1,125,4.2,33,76657
22,13.7,9.5,2.1,Foggy,Moderate,27.8,11.5,145,11.3,15.77,22,157,6,61,0.17,169,142045
38,12.5,9.5,2.6,Clear,Moderate,21.8,8.7,120,10.0,16.36,14,138,7,114,0.79,13,101101
50,12.4,9.4,2.3,Rain,Calm,21.7,9.5,122,10.0,8.65,26,165,5,178,7.57,136,80813
17,15.8,9.9,2.0,Sunny,Calm,24.7,7.7,126,10.6,1.6,15,72,6,176,3.55,35,72522
24,12.0,9.6,2.0,Rain,Moderate,26.3,11.0,120,10.0,9.35,30,74,0,130,2.01,93,151402
21,16.0,10.0,3.2,Rain,Rough,22.8,9.6,168,13.2,24.92,20,174,5,71,2.4,96,82411
20,12.2,9.8,2.5,Cloudy,Calm,24.0,7.9,120,11.2,30.95,3,175,1,22,1.64,116,84385
47,12.8,10.0,2.1,Rain,Moderate,21.7,8.6,128,11.6,23.39,12,161,5,177,8.0,129,99895
46,14.2,9.8,1.9,Sunny,Calm,23.3,9.3,144,11.0,28.4,6,164,1,90,6.64,167,91179
28,16.6,10.8,2.4,Clear,Rough,21.3,9.9,146,10.8,20.52,1,62,2,134,6.74,42,144455
19,12.0,9.3,1.9,Clear,Moderate,21.2,8.4,120,10.0,5.74,14,144,2,65,3.13,101,134123
46,18.7,10.8,2.5,Sunny,Rough,25.7,11.2,121,10.0,4.34,13,53,1,138,5.87,45,146486
37,14.8,11.0,2.8,Sunny,Calm,24.9,8.0,164,12.9,6.09,25,21,4,2,5.66,18,135962
14,15.9,9.7,2.9,Clear,Rough,22.3,9.7,120,10.6,6.46,22,47,7,16,2.12,18,135291
16,14.1,9.2,2.1,Rain,Moderate,28.7,9.6,124,10.2,15.77,17,63,1,149,5.76,15,101899
14,15.5,10.2,2.4,Foggy,Calm,25.7,7.0,154,10.3,6.94,11,118,1,177,2.58,15,139861
37,14.5,10.2,2.0,Foggy,Calm,22.9,7.0,157,10.0,25.17,29,35,5,154,2.55,44,74256
42,18.3,11.2,3.7,Cloudy,Rough,26.9,9.0,158,15.3,14.28,30,32,7,122,0.1,127,143412
37,17.7,11.4,3.6,Sunny,Rough,26.4,8.5,177,11.0,11.62,27,83,0,13,6.3,121,69199
28,16.5,9.1,1.5,Foggy,Calm,21.7,7.0,161,12.1,19.5,19,33,3,6,4.16,163,123517
10,13.0,9.1,1.9,Cloudy,Calm,23.7,11.5,120,10.0,16.14,10,164,4,165,5.76,17,116565
15,13.8,9.7,3.9,Cloudy,Moderate,24.1,12.0,129,10.9,5.03,11,12,5,91,4.19,73,162061
35,17.1,10.8,2.4,Rain,Rough,23.6,8.7,124,10.0,13.9,8,165,4,96,1.14,114,122904
6,12.7,9.8,2.8,Rain,Moderate,24.1,11.8,125,10.0,24.92,7,163,4,56,6.53,152,110194
9,16.9,10.2,3.8,Clear,Moderate,25.2,11.1,167,10.7,19.76,3,43,7,50,2.98,152,82262
22,12.1,9.4,3.2,Foggy,Calm,29.0,7.0,120,10.0,8.83,9,143,7,117,7.97,95,91044
9,15.6,10.1,3.7,Sunny,Calm,29.0,7.2,131,10.0,13.11,2,138,3,56,1.01,45,125783
11,14.8,10.0,1.8,Foggy,Calm,28.5,7.9,145,10.0,12.17,19,94,6,109,4.09,125,112286
20,15.9,10.7,1.6,Sunny,Calm,26.2,7.4,179,11.5,12.3,18,47,0,134,3.8,63,107852
12,17.9,10.9,2.8,Foggy,Calm,29.0,7.9,171,10.7,15.58,11,50,5,41,1.42,147,94010
14,12.0,9.1,1.6,Clear,Moderate,22.9,11.5,120,10.0,28.9,5,89,2,7,6.47,16,80306
25,17.9,11.2,2.9,Rain,Calm,28.7,7.0,147,12.6,30.66,17,98,0,124,2.79,164,144556
44,17.0,9.7,3.1,Cloudy,Rough,25.2,8.3,168,11.5,19.1,28,11,0,175,2.95,97,77019
13,14.6,9.6,2.1,Sunny,Moderate,21.3,8.2,125,10.5,17.11,17,100,5,133,0.29,148,100297
16,19.4,10.9,1.6,Rain,Moderate,21.4,10.1,134,10.0,20.61,11,158,4,6,2.63,26,157919
28,13.6,11.1,3.4,Clear,Rough,21.6,7.4,131,10.7,12.65,5,123,4,176,1.5,152,135478
16,16.6,9.9,1.5,Sunny,Calm,26.2,8.1,122,11.0,6.51,12,14,5,66,3.63,11,104136
38,13.6,10.0,2.1,Rain,Moderate,21.7,12.1,131,10.0,7.76,15,178,0,29,5.49,20,124537
24,13.3,9.6,2.2,Cloudy,Calm,23.1,8.9,132,11.9,8.26,26,1,7,90,7.49,127,81571
37,12.7,10.1,2.4,Foggy,Rough,27.1,11.1,123,10.0,22.21,12,73,7,160,3.03,150,73957
19,18.1,11.5,4.0,Sunny,Rough,22.9,10.1,161,13.2,23.81,11,166,6,166,1.78,70,102188
35,17.8,10.3,1.6,Rain,Rough,22.0,9.7,144,10.0,19.53,12,7,0,117,1.06,35,134113
16,14.6,10.0,2.4,Clear,Moderate,22.6,9.6,127,10.0,3.17,19,88,5,165,5.26,89,106903
25,12.9,9.7,1.6,Foggy,Calm,28.6,10.4,120,10.0,30.48,12,137,1,168,7.05,69,162057
